ticker,date,open_price,high_price,low_price,close_price,adj_close_price,trading_volume,market_cap,outstanding_shares,adj_factor
QQQ,2025-04-17,447.17,447.75,441.36,444.1,444.1,44714830.0,283624465000.0,638650000.0,1.0
QQQ,2025-04-16,449.03,452.62,437.76,444.18,444.18,48631080.0,284230782000.0,639900000.0,1.0
QQQ,2025-04-15,458.54,462.38,456.15,457.99,457.99,34436420.0,294258575000.0,642500000.0,1.0
QQQ,2025-04-14,464.46,465.05,452.63,457.48,457.48,43583380.0,293313302000.0,641150000.0,1.0
QQQ,2025-04-11,444.65,455.79,441.33,454.4,454.4,52389590.0,290361600000.0,639000000.0,1.0
QQQ,2025-04-10,453.56,455.59,432.63,446.18,446.18,107876300.0,280848001000.0,629450000.0,1.0
QQQ,2025-04-09,415.57,467.83,415.43,466.0,466.0,141595500.0,291203400000.0,624900000.0,1.0
QQQ,2025-04-08,438.16,443.1384,409.79,416.06,416.06,99446140.0,264094085000.0,634750000.0,1.0
QQQ,2025-04-07,408.66,443.14,402.39,423.69,423.69,160755900.0,267009438000.0,630200000.0,1.0
QQQ,2025-04-04,438.14,440.37,422.67,422.67,422.67,116647700.0,265140891000.0,627300000.0,1.0
QQQ,2025-04-03,456.44,460.07,450.14,450.66,450.66,69893530.0,283622871000.0,629350000.0,1.0
QQQ,2025-04-02,466.12,479.56,465.86,476.15,476.15,46530840.0,301736255000.0,633700000.0,1.0
QQQ,2025-04-01,467.3,473.63,464.42,472.7,472.7,40815380.0,299597260000.0,633800000.0,1.0
QQQ,2025-03-31,461.92,469.86,457.33,468.92,468.92,52675090.0,297459402000.0,634350000.0,1.0
QQQ,2025-03-28,479.81,480.52,468.05,468.94,468.94,46122860.0,294447426000.0,627900000.0,1.0
QQQ,2025-03-27,482.41,486.5799,480.25,481.62,481.62,33311300.0,302312874000.0,627700000.0,1.0
QQQ,2025-03-26,492.3,493.16,482.82,484.38,484.38,34057400.0,305377371000.0,630450000.0,1.0
QQQ,2025-03-25,491.39,493.62,490.42,493.46,493.46,25854250.0,310090264000.0,628400000.0,1.0
QQQ,2025-03-24,487.74,491.51,484.4,490.66,490.66,34359480.0,309091267000.0,629950000.0,1.0
QQQ,2025-03-21,474.08,481.61,472.905,480.84,480.84,42096550.0,302568570000.0,629250000.0,1.0
QQQ,2025-03-20,476.88,484.55,476.18,479.26,479.26,36545370.0,301742096000.0,629600000.0,1.0
QQQ,2025-03-19,476.81,485.33,474.87,480.89,480.89,40216960.0,302263409500.0,628550000.0,1.0
QQQ,2025-03-18,479.41,479.61,472.41,474.54,474.54,38820150.0,298580568000.0,629200000.0,1.0
QQQ,2025-03-17,479.61,485.84,477.8,482.77,482.77,41540040.0,304338208000.0,630400000.0,1.0
QQQ,2025-03-14,473.73,480.56,473.12,479.66,479.66,43426150.0,302593511000.0,630850000.0,1.0
QQQ,2025-03-13,476.25,476.2801,466.43,468.34,468.34,45982690.0,297442734000.0,635100000.0,1.0
QQQ,2025-03-12,479.16,481.06,471.79,476.92,476.92,46616830.0,302271896000.0,633800000.0,1.0
QQQ,2025-03-11,472.35,478.805,467.01,471.6,471.6,68316040.0,297320220000.0,630450000.0,1.0
QQQ,2025-03-10,483.45,483.97,468.66,472.73,472.73,75606700.0,298576268000.0,631600000.0,1.0
QQQ,2025-03-07,487.16,493.28,480.53,491.79,491.79,54626320.0,310835869500.0,632050000.0,1.0
QQQ,2025-03-06,493.69,498.58,486.2,488.2,488.2,57146080.0,308884140000.0,632700000.0,1.0
QQQ,2025-03-05,496.2,503.63,491.26,502.01,502.01,46119320.0,315914893000.0,629300000.0,1.0
QQQ,2025-03-04,494.18,503.74,487.735,495.55,495.55,67458220.0,313336265000.0,632300000.0,1.0
QQQ,2025-03-03,511.52,513.04,493.58,497.05,497.05,43997620.0,316546292500.0,636850000.0,1.0
QQQ,2025-02-28,500.13,508.78,496.93,508.17,508.17,47525740.0,323653473000.0,636900000.0,1.0
QQQ,2025-02-27,518.13,519.0699,500.05,500.27,500.27,51907050.0,320372908000.0,640400000.0,1.0
QQQ,2025-02-26,515.53,519.66,511.37,514.56,514.56,33780930.0,325150463999.99994,631900000.0,1.0
QQQ,2025-02-25,519.24,519.32,509.44,513.32,513.32,48536720.0,324905894000.00006,632950000.0,1.0
QQQ,2025-02-24,527.88,529.069,519.53,519.87,519.87,38801410.0,330663313500.0,636050000.0,1.0
QQQ,2025-02-21,538.38,538.4,525.71,526.08,526.08,46932560.0,334534272000.0,635900000.0,1.0
QQQ,2025-02-20,538.73,539.1,532.46,537.23,537.23,26343830.0,340630681500.0,634050000.0,1.0
QQQ,2025-02-19,538.57,540.81,536.46,539.52,539.52,19472320.0,339439008000.0,629150000.0,1.0
QQQ,2025-02-18,539.73,540.0,536.04,539.37,539.37,20374460.0,338751328500.0,628050000.0,1.0
QQQ,2025-02-14,536.005,538.84,535.67,538.15,538.15,17822070.0,336693547500.0,625650000.0,1.0
QQQ,2025-02-13,529.98,536.22,529.19,535.9,535.9,28490880.0,336196865000.0,627350000.0,1.0
QQQ,2025-02-12,522.3,529.19,521.95,528.3,528.3,24779250.0,332379945000.0,629150000.0,1.0
QQQ,2025-02-11,525.96,529.92,525.83,527.99,527.99,19196150.0,331155328000.0,627200000.0,1.0
QQQ,2025-02-10,527.22,530.3571,526.75,529.25,529.25,20704200.0,332924712500.0,629050000.0,1.0
QQQ,2025-02-07,530.14,532.1,522.19,522.92,522.92,29083730.0,328184592000.0,627600000.0,1.0
QQQ,2025-02-06,527.36,529.81,525.7413,529.6,529.6,19142880.0,332191600000.0,627250000.0,1.0
QQQ,2025-02-05,521.82,527.01,520.62,526.85,526.85,20974840.0,330809115000.0,627900000.0,1.0
QQQ,2025-02-04,518.63,525.11,518.23,524.47,524.47,25646560.0,327898644000.0,625200000.0,1.0
QQQ,2025-02-03,513.47,520.8496,511.05,518.11,518.11,40031750.0,325528513000.0,628300000.0,1.0
QQQ,2025-01-31,526.92,531.5178,521.19,522.29,522.29,38724010.0,327710860500.0,627450000.0,1.0
QQQ,2025-01-30,523.71,526.095,518.21,523.05,523.05,26923180.0,329652262500.0,630250000.0,1.0
QQQ,2025-01-29,522.46,522.59,516.8988,520.83,520.83,25883510.0,330674967000.0,634900000.0,1.0
QQQ,2025-01-28,515.22,523.0,511.78,521.81,521.81,33013830.0,326887874499.99994,626450000.0,1.0
QQQ,2025-01-27,511.0,517.99,510.15,514.21,514.21,60289860.0,322512512000.0,627200000.0,1.0
QQQ,2025-01-24,533.02,533.79,528.15,529.63,529.63,19809130.0,331707269000.0,626300000.0,1.0
QQQ,2025-01-23,529.04,532.76,528.45,532.64,532.64,22987410.0,331994512000.0,623300000.0,1.0
QQQ,2025-01-22,529.57,533.82,529.26,531.51,531.51,33393870.0,330971277000.0,622700000.0,1.0
