Date,Ticker,market_cap(millions)
2023-12-29,VRSK,346.3159482
2023-12-29,MCHP,487.914381
2023-12-29,LRCX,1032.2740192
2023-12-29,DASH,366.6287416
2023-12-29,ADBE,2716.3198
2023-12-29,SWKS,179.821411
2023-12-29,MAR,662.3025741
2023-12-29,GILD,1009.4186242
2023-12-29,PYPL,662.085774
2023-12-29,SMCI,157.8723188
2023-12-29,GOOGL,8266.8542
2023-12-29,INTC,2118.54
2023-12-29,MNST,599.3980601
2023-12-29,ULTA,237.9489438
2023-12-29,TTWO,273.72444599999994
2023-12-29,CTAS,613.8333164
2023-12-29,BKR,343.9307812
2023-12-29,EXC,357.361883
2023-12-29,ORLY,562.0863296
2023-12-29,ODFL,442.2717762
2023-12-29,KHC,453.5741221999999
2023-12-29,XEL,341.6292856
2023-12-29,ZM,185.3739126
2023-12-29,ZS,328.6465948
2023-12-29,FANG,277.56993800000004
2023-12-29,AEP,427.1164872
2023-12-29,CSGP,356.8684257
2023-12-29,ROST,465.91207739999993
2023-12-29,AAPL,29943.7134256
2023-12-29,APP,105.4586415
2023-12-29,BIIB,374.9525546
2023-12-29,CTSH,378.7172389
2023-12-29,EQT,159.02095119999998
2023-12-29,PAYX,428.5839842
2023-12-29,DDOG,366.7666632
2023-12-29,REGN,940.9032941
2023-12-29,JD,806.9837922
2023-12-29,CMCSA,1760.8559475
2023-12-29,TMUS,1854.1763675
2023-12-29,QCOM,1609.7319
2023-12-29,MRNA,379.186938
2023-12-29,CPRT,470.51319
2023-12-29,WYNN,102.9051006
2023-12-29,TSLA,7898.9829008
2023-12-29,DXCM,479.4514966
2023-12-29,BIDU,2643.9444807
2023-12-29,AZN,1043.875161
2023-12-29,FAST,370.1042001
2023-12-29,NXPI,592.0300584
2023-12-29,CRWD,581.1823628
2023-12-29,TXN,1548.1245384
2023-12-29,FTNT,449.457723
2023-12-29,IDXX,460.980126
2023-12-29,NVDA,12231.934
2023-12-29,TCOM,241.08695
2023-12-29,FOX,65.1381465
2023-12-29,ARM,771.02902975
2023-12-29,QRVO,109.6213306
2023-12-29,LCID,96.3849609
2023-12-29,MDB,295.099753
2023-12-29,AMD,2381.4070759
2023-12-29,ADSK,520.840242
2023-12-29,NFLX,2130.976384
2023-12-29,ALGN,209.85386
2023-12-29,CHTR,574.935456
2023-12-29,CHKP,184.5122598
2023-12-29,HSIC,98.3760598
2023-12-29,DISH,17.076603499999997
2023-12-29,GEHC,351.9938876
2023-12-29,CEG,373.3256198
2023-12-29,TSCO,232.4775342
2023-12-29,COST,2928.9597824
2023-12-29,CDW,304.517872
2023-12-29,INTU,1749.6839808
2023-12-29,TEAM,368.7091646
2023-12-29,VRTX,1048.4863587
2023-12-29,HON,1382.5152721
2023-12-29,AKAM,178.509672
2023-12-29,SNPS,782.5962617
2023-12-29,VRSN,210.28516
2023-12-29,ISRG,1187.7500992
2023-12-29,MRVL,521.37995
2023-12-29,GFS,331.93953
2023-12-29,EBAY,226.3878
2023-12-29,CSCO,2052.8680752
2023-12-29,LIN,1991.491719
2023-12-29,PDD,7775.4225588
2023-12-29,ON,359.7620394
2023-12-29,NCLH,85.25517
2023-12-29,MU,942.0759406
2023-12-29,CDNS,741.0152694
2023-12-29,MELI,794.570624
2023-12-29,JBHT,206.0178282
2023-12-29,GOOG,8068.2425
2023-12-29,AVGO,5225.6239125
2023-12-29,AMZN,15701.5267014
2023-12-29,ROP,582.3614974
2023-12-29,WBD,277.5088108
2023-12-29,HAS,70.8528984
2023-12-29,CCEP,306.23382039999996
2023-12-29,ABNB,592.9659383999999
2023-12-29,EXPE,202.3740175
2023-12-29,KDP,465.9255552
2023-12-29,FOXA,73.3522509
2023-12-29,KLAC,790.172716
2023-12-29,ASML,3051.4321496
2023-12-29,SIRI,209.990018
2023-12-29,PANW,929.75664
2023-12-29,PCAR,510.783714
2023-12-29,EA,367.9723846
2023-12-29,AMGN,1541.4196756
2023-12-29,ENPH,180.4384914
